IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.46.67,443,443,TRUE,KIX,Asia Pacific,Osaka,85,5.65
152.70.155.147,2083,2083,TRUE,LAX,North America,Los Angeles,373,5.61
152.70.234.188,443,443,TRUE,ICN,Asia Pacific,Seoul,223,5.56
158.180.65.13,443,443,TRUE,ICN,Asia Pacific,Seoul,109,5.54
129.159.22.4,443,443,TRUE,MAA,Asia Pacific,Chennai,112,5.52
64.110.104.30,443,443,TRUE,KIX,Asia Pacific,Osaka,119,5.51
131.186.27.112,2096,443,TRUE,ICN,Asia Pacific,Seoul,135,5.49
64.110.101.31,443,443,TRUE,KIX,Asia Pacific,Osaka,125,5.49
152.70.155.147,2053,2053,TRUE,LAX,North America,Los Angeles,490,5.48
150.230.63.93,443,443,TRUE,KIX,Asia Pacific,Osaka,103,5.44
193.123.252.170,2053,443,TRUE,ICN,Asia Pacific,Seoul,187,5.44
217.142.243.226,443,443,TRUE,KIX,Asia Pacific,Osaka,198,5.43
193.122.110.171,443,443,TRUE,ICN,Asia Pacific,Seoul,280,5.37
140.238.58.181,2053,443,TRUE,NRT,Asia Pacific,Tokyo,171,5.37
193.122.110.171,443,443,TRUE,ICN,Asia Pacific,Seoul,259,5.37
193.122.107.147,443,443,TRUE,ICN,Asia Pacific,Seoul,116,5.36
129.146.248.140,443,443,TRUE,LAX,North America,Los Angeles,240,5.32
138.3.222.33,443,443,TRUE,NRT,Asia Pacific,Tokyo,240,5.31
159.13.46.42,443,443,TRUE,SYD,Oceania,Sydney,139,5.28
193.122.107.147,443,443,TRUE,ICN,Asia Pacific,Seoul,119,5.2
193.123.250.209,2087,2096,TRUE,ICN,Asia Pacific,Seoul,179,5.19
152.70.88.98,443,443,TRUE,ICN,Asia Pacific,Seoul,164,5.17
150.136.169.72,443,443,TRUE,IAD,North America,Ashburn,329,5.12
140.238.195.98,443,443,TRUE,SYD,Oceania,Sydney,93,5.04
152.67.78.184,443,443,TRUE,ZRH,Europe,Zurich,162,5.02
158.179.207.182,8443,443,TRUE,ARN,Europe,Stockholm,206,5
35.198.159.185,2053,443,TRUE,FRA,Europe,Frankfurt,322,7.35
34.147.130.63,443,443,TRUE,LHR,Europe,London,381,7.09
34.175.202.195,443,443,TRUE,MAD,Europe,Madrid,338,6.48
34.105.140.105,443,443,TRUE,LHR,Europe,London,288,5.44
35.197.239.137,443,443,TRUE,LHR,Europe,London,318,5.39
34.105.189.25,443,443,TRUE,LHR,Europe,London,298,5.01
