IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
165.1.79.60,8443,443,TRUE,SJC,North America,San Jose,258,9.91
89.168.79.215,443,443,TRUE,FRA,Europe,Frankfurt,196,9.9
79.72.78.182,443,443,TRUE,FRA,Europe,Frankfurt,167,9.88
193.123.63.126,443,443,TRUE,FRA,Europe,Frankfurt,265,9.87
132.145.241.52,443,443,TRUE,FRA,Europe,Frankfurt,315,9.82
144.21.58.120,443,443,TRUE,FRA,Europe,Frankfurt,430,9.81
141.148.246.37,443,443,TRUE,FRA,Europe,Frankfurt,391,9.8
152.70.123.225,8443,443,TRUE,SJC,North America,San Jose,335,9.8
152.70.55.64,443,443,TRUE,FRA,Europe,Frankfurt,271,9.79
141.147.52.90,443,443,TRUE,FRA,Europe,Frankfurt,329,9.79
152.70.52.215,443,443,TRUE,AMS,Europe,Amsterdam,231,9.79
144.21.34.159,443,443,TRUE,FRA,Europe,Frankfurt,308,9.78
144.24.178.232,443,443,TRUE,FRA,Europe,Frankfurt,317,9.75
141.147.88.214,443,443,TRUE,FRA,Europe,Frankfurt,336,9.74
89.168.94.218,443,443,TRUE,FRA,Europe,Frankfurt,159,9.74
158.180.54.195,443,443,TRUE,FRA,Europe,Frankfurt,424,9.72
144.21.40.110,443,443,TRUE,FRA,Europe,Frankfurt,338,9.71
143.47.250.193,443,443,TRUE,FRA,Europe,Frankfurt,284,9.7
152.70.53.189,443,443,TRUE,FRA,Europe,Frankfurt,255,9.7
141.147.82.189,443,443,TRUE,FRA,Europe,Frankfurt,279,9.69
143.47.243.201,443,443,TRUE,FRA,Europe,Frankfurt,318,9.57
193.123.38.72,443,443,TRUE,FRA,Europe,Frankfurt,298,9.57
152.70.61.6,443,443,TRUE,FRA,Europe,Frankfurt,284,9.52
64.181.240.173,443,443,TRUE,SJC,North America,San Jose,302,9.51
84.235.164.1,443,443,TRUE,FRA,Europe,Frankfurt,205,9.5
158.180.48.187,443,443,TRUE,FRA,Europe,Frankfurt,278,9.45
152.70.58.153,443,443,TRUE,FRA,Europe,Frankfurt,277,9.39
152.70.53.38,443,443,TRUE,FRA,Europe,Frankfurt,251,9.38
144.21.53.191,443,443,TRUE,FRA,Europe,Frankfurt,323,9.38
141.144.248.142,443,443,TRUE,FRA,Europe,Frankfurt,353,9.36
138.2.141.139,443,443,TRUE,FRA,Europe,Frankfurt,378,9.33
79.72.91.221,443,443,TRUE,FRA,Europe,Frankfurt,182,9.27
89.168.112.118,8443,443,TRUE,FRA,Europe,Frankfurt,196,9.27
129.159.242.113,443,443,TRUE,FRA,Europe,Frankfurt,343,9.22
141.147.103.74,443,443,TRUE,FRA,Europe,Frankfurt,311,9.2
144.24.169.111,443,443,TRUE,FRA,Europe,Frankfurt,298,9.12
150.230.116.76,443,443,TRUE,FRA,Europe,Frankfurt,187,9.12
141.147.12.255,443,443,TRUE,FRA,Europe,Frankfurt,426,9.09
130.162.166.148,443,443,TRUE,FRA,Europe,Frankfurt,326,9.04
141.147.112.157,443,443,TRUE,FRA,Europe,Frankfurt,353,9.03
192.9.137.193,8443,443,TRUE,SJC,North America,San Jose,263,9.03
158.101.211.127,443,443,TRUE,FRA,Europe,Frankfurt,270,9.03
143.47.247.117,443,443,TRUE,FRA,Europe,Frankfurt,299,9.03
143.47.253.7,443,443,TRUE,FRA,Europe,Frankfurt,279,9.01
143.47.251.167,443,443,TRUE,FRA,Europe,Frankfurt,334,8.92
130.162.170.85,443,443,TRUE,FRA,Europe,Frankfurt,326,8.91
143.47.184.237,443,443,TRUE,FRA,Europe,Frankfurt,506,8.89
152.70.85.165,2083,443,TRUE,KIX,Asia Pacific,Osaka,78,8.86
131.186.22.123,443,443,TRUE,ICN,Asia Pacific,Seoul,172,8.81
141.147.61.116,2053,443,TRUE,FRA,Europe,Frankfurt,382,8.8
132.226.215.240,443,443,TRUE,FRA,Europe,Frankfurt,307,8.79
84.235.174.50,443,443,TRUE,FRA,Europe,Frankfurt,256,8.75
130.162.162.53,443,443,TRUE,FRA,Europe,Frankfurt,348,8.74
89.168.112.118,2053,443,TRUE,FRA,Europe,Frankfurt,210,8.73
138.2.157.138,443,443,TRUE,FRA,Europe,Frankfurt,481,8.71
144.21.59.198,443,443,TRUE,FRA,Europe,Frankfurt,371,8.62
143.47.250.201,443,443,TRUE,FRA,Europe,Frankfurt,194,8.59
138.2.141.39,443,443,TRUE,FRA,Europe,Frankfurt,301,8.5
158.178.153.80,2096,443,TRUE,AMS,Europe,Amsterdam,275,8.4
130.162.175.13,443,443,TRUE,FRA,Europe,Frankfurt,339,8.37
89.168.106.226,443,443,TRUE,FRA,Europe,Frankfurt,221,8.29
164.152.26.70,2052,443,TRUE,ORD,North America,Chicago,264,8.25
143.47.234.43,443,443,TRUE,FRA,Europe,Frankfurt,316,8.21
141.144.192.247,443,443,TRUE,FRA,Europe,Frankfurt,416,8.08
129.146.137.89,2096,443,TRUE,LAX,North America,Los Angeles,205,8.05
89.168.101.48,443,443,TRUE,FRA,Europe,Frankfurt,227,8.01
150.230.42.80,443,443,TRUE,SJC,North America,San Jose,195,7.95
158.101.220.164,443,443,TRUE,FRA,Europe,Frankfurt,254,7.94
129.146.133.33,443,443,TRUE,LAX,North America,Los Angeles,241,7.82
84.235.169.184,443,443,TRUE,FRA,Europe,Frankfurt,324,7.81
141.144.236.91,443,443,TRUE,FRA,Europe,Frankfurt,264,7.74
150.230.112.220,443,443,TRUE,FRA,Europe,Frankfurt,167,7.73
150.230.145.61,443,443,TRUE,FRA,Europe,Frankfurt,299,7.67
144.21.36.170,443,443,TRUE,FRA,Europe,Frankfurt,260,7.59
144.24.78.162,443,443,TRUE,ICN,Asia Pacific,Seoul,308,7.59
89.168.122.44,443,443,TRUE,FRA,Europe,Frankfurt,184,7.56
