IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
129.159.243.58,443,443,TRUE,FRA,Europe,Frankfurt,385,7.11
141.147.25.3,443,443,TRUE,FRA,Europe,Frankfurt,281,7.1
140.238.127.227,443,443,TRUE,FRA,Europe,Frankfurt,238,7.09
144.24.160.241,443,443,TRUE,FRA,Europe,Frankfurt,269,7.09
141.147.81.7,443,443,TRUE,FRA,Europe,Frankfurt,293,7.09
84.8.149.173,443,443,TRUE,FRA,Europe,Frankfurt,281,7.09
130.162.44.183,443,443,TRUE,FRA,Europe,Frankfurt,208,7.08
143.47.184.55,443,443,TRUE,AMS,Europe,Amsterdam,166,7.08
79.72.72.131,443,443,TRUE,FRA,Europe,Frankfurt,246,7.06
138.3.241.73,443,443,TRUE,FRA,Europe,Frankfurt,356,7.05
158.178.150.243,443,443,TRUE,FRA,Europe,Frankfurt,265,7.05
193.123.59.248,443,443,TRUE,FRA,Europe,Frankfurt,318,7.04
158.101.210.238,443,443,TRUE,FRA,Europe,Frankfurt,345,7.03
152.70.59.184,443,443,TRUE,FRA,Europe,Frankfurt,291,7.03
132.145.247.128,443,443,TRUE,FRA,Europe,Frankfurt,268,7.02
141.147.110.76,443,443,TRUE,FRA,Europe,Frankfurt,172,7.01
158.180.37.84,443,443,TRUE,FRA,Europe,Frankfurt,334,7
141.148.247.179,443,443,TRUE,FRA,Europe,Frankfurt,328,7
138.2.159.85,443,443,TRUE,FRA,Europe,Frankfurt,378,6.99
40.233.70.7,8443,443,TRUE,YYZ,North America,Toronto,332,6.98
204.216.105.106,8443,8443,TRUE,YYZ,North America,Toronto,358,6.98
84.235.160.238,443,443,TRUE,FRA,Europe,Frankfurt,293,6.96
130.162.59.22,443,443,TRUE,AMS,Europe,Amsterdam,238,6.94
144.21.54.75,443,443,TRUE,FRA,Europe,Frankfurt,345,6.92
138.2.148.33,443,443,TRUE,FRA,Europe,Frankfurt,321,6.91
143.47.239.148,443,443,TRUE,FRA,Europe,Frankfurt,291,6.88
79.72.77.82,443,443,TRUE,FRA,Europe,Frankfurt,317,6.87
79.72.71.12,443,443,TRUE,FRA,Europe,Frankfurt,234,6.87
84.8.150.181,443,443,TRUE,FRA,Europe,Frankfurt,423,6.86
141.148.245.60,443,443,TRUE,AMS,Europe,Amsterdam,229,6.86
158.180.33.165,443,443,TRUE,FRA,Europe,Frankfurt,253,6.86
193.122.57.189,443,443,TRUE,FRA,Europe,Frankfurt,288,6.84
144.21.53.88,443,443,TRUE,FRA,Europe,Frankfurt,278,6.84
141.147.67.212,443,443,TRUE,FRA,Europe,Frankfurt,310,6.83
152.70.50.32,443,443,TRUE,FRA,Europe,Frankfurt,291,6.81
132.226.135.47,443,443,TRUE,FRA,Europe,Frankfurt,270,6.81
130.61.181.61,2096,443,TRUE,FRA,Europe,Frankfurt,273,6.81
152.70.57.103,443,443,TRUE,FRA,Europe,Frankfurt,272,6.8
144.24.168.197,443,443,TRUE,FRA,Europe,Frankfurt,256,6.8
130.162.223.4,443,443,TRUE,FRA,Europe,Frankfurt,252,6.8
84.235.161.84,443,443,TRUE,FRA,Europe,Frankfurt,274,6.79
132.226.215.123,443,443,TRUE,FRA,Europe,Frankfurt,213,6.79
141.147.87.37,443,443,TRUE,FRA,Europe,Frankfurt,340,6.78
132.145.244.216,443,443,TRUE,FRA,Europe,Frankfurt,220,6.78
141.147.97.246,443,443,TRUE,FRA,Europe,Frankfurt,266,6.78
144.24.182.115,443,443,TRUE,FRA,Europe,Frankfurt,371,6.76
132.145.252.99,443,443,TRUE,FRA,Europe,Frankfurt,299,6.68
130.61.107.238,8443,443,TRUE,FRA,Europe,Frankfurt,319,6.68
143.47.240.139,443,443,TRUE,FRA,Europe,Frankfurt,278,6.67
152.70.171.61,443,443,TRUE,FRA,Europe,Frankfurt,229,6.66
143.47.247.56,443,443,TRUE,FRA,Europe,Frankfurt,443,6.66
129.159.207.91,443,443,TRUE,FRA,Europe,Frankfurt,606,6.65
141.148.225.126,443,443,TRUE,FRA,Europe,Frankfurt,250,6.64
141.147.41.38,443,443,TRUE,FRA,Europe,Frankfurt,327,6.64
158.178.156.249,443,443,TRUE,FRA,Europe,Frankfurt,251,6.63
158.101.215.25,443,443,TRUE,FRA,Europe,Frankfurt,268,6.61
132.226.194.216,443,443,TRUE,FRA,Europe,Frankfurt,206,6.6
